"month";"mean"
"1961-июл";19,4
"1961-авг";16,8
"1961-сен";9,7
"1961-окт";6,6
"1961-ноя";-1,6
"1961-дек";-8,1
"1962-янв";-4,2
"1962-фев";-6,1
"1962-мар";-5
"1962-апр";7,6
"1962-май";13,2
"1962-июн";13,5
"1962-июл";16,4
"1962-авг";14,8
"1962-сен";10,8
"1962-окт";6,4
"1962-ноя";1,4
"1962-дек";-7,4
"1963-янв";-15,9
"1963-фев";-10
"1963-мар";-9,4
"1963-апр";3,9
"1963-май";17
"1963-июн";13,5
"1963-июл";19,1
"1963-авг";17,8
"1963-сен";13,2
"1963-окт";5,6
"1963-ноя";-0,2
"1963-дек";-8,8
"1964-янв";-8,1
"1964-фев";-10
"1964-мар";-6,2
"1964-апр";4,2
"1964-май";11,5
"1964-июн";19
"1964-июл";20
"1964-авг";16
"1964-сен";11,8
"1964-окт";6,9
"1964-ноя";-2,3
"1964-дек";-2,9
"1965-янв";-9,6
"1965-фев";-10,1
"1965-мар";-3,3
"1965-апр";2,5
"1965-май";9,7
"1965-июн";16
"1965-июл";16,7
"1965-авг";15,8
"1965-сен";12,9
"1965-окт";3,8
"1965-ноя";-5,8
"1965-дек";-1,5
"1966-янв";-9,7
"1966-фев";-8,9
"1966-мар";0
"1966-апр";8,7
"1966-май";15,4
"1966-июн";16,5
"1966-июл";19,2
"1966-авг";16,6
"1966-сен";9,5
"1966-окт";6,1
"1966-ноя";-0,9
"1966-дек";-10,5
"1967-янв";-13,9
"1967-фев";-10,4
"1967-мар";0,3
"1967-апр";6,6
"1967-май";16,9
"1967-июн";16,5
"1967-июл";17,7
"1967-авг";18,4
"1967-сен";11,4
"1967-окт";9
"1967-ноя";0,4
"1967-дек";-9,6
"1968-янв";-15,5
"1968-фев";-8,3
"1968-мар";-1
"1968-апр";6
"1968-май";12,4
"1968-июн";18,3
"1968-июл";15,7
"1968-авг";17,7
"1968-сен";10,8
"1968-окт";3
"1968-ноя";-2,5
"1968-дек";-5,3
"1969-янв";-16,2
"1969-фев";-13,4
"1969-мар";-6,9
"1969-апр";6
"1969-май";11,1
"1969-июн";14,7
"1969-июл";17,8
"1969-авг";16,4
"1969-сен";10,2
"1969-окт";4,7
"1969-ноя";1,8
"1969-дек";-9,2
"1970-янв";-10,4
"1970-фев";-8,3
"1970-мар";-2,9
"1970-апр";5,8
"1970-май";12,6
"1970-июн";15,8
"1970-июл";19,3
"1970-авг";16,3
"1970-сен";11,1
"1970-окт";5,4
"1970-ноя";-1,8
"1970-дек";-5,9
"1971-янв";-3,5
"1971-фев";-9,4
"1971-мар";-4,2
"1971-апр";3,8
"1971-май";12,8
"1971-июн";16,4
"1971-июл";17,5
"1971-авг";16,7
"1971-сен";10,8
"1971-окт";3,2
"1971-ноя";-0,6
"1971-дек";-5,7
"1972-янв";-14,9
"1972-фев";-7,4
"1972-мар";-2,5
"1972-апр";5,9
"1972-май";12,6
"1972-июн";19
"1972-июл";22,4
"1972-авг";20,6
"1972-сен";11
"1972-окт";5,2
"1972-ноя";-0,2
"1972-дек";-0,9
"1973-янв";-10,2
"1973-фев";-3,4
"1973-мар";-1
"1973-апр";7,9
"1973-май";13,3
"1973-июн";18,2
"1973-июл";18
"1973-авг";15,9
"1973-сен";7,6
"1973-окт";3,8
"1973-ноя";-2,1
"1973-дек";-5,9
"1974-янв";-10,2
"1974-фев";-1,5
"1974-мар";-0,6
"1974-апр";3,4
"1974-май";9,6
"1974-июн";16,4
"1974-июл";18,2
"1974-авг";15,9
"1974-сен";13,1
"1974-окт";8,7
"1974-ноя";1,8
"1974-дек";-2,3
"1975-янв";-3,7
"1975-фев";-6,4
"1975-мар";1,2
"1975-апр";10,1
"1975-май";15,6
"1975-июн";17,8
"1975-июл";18,5
"1975-авг";15
"1975-сен";13,7
"1975-окт";4,1
"1975-ноя";-3,3
"1975-дек";-4
"1976-янв";-12,2
"1976-фев";-11,4
"1976-мар";-2,6
"1976-апр";5,7
"1976-май";10,9
"1976-июн";13,7
"1976-июл";16,1
"1976-авг";14,5
"1976-сен";9,6
"1976-окт";-1
"1976-ноя";-0,8
"1976-дек";-3,7
"1977-янв";-11,2
"1977-фев";-6,3
"1977-мар";-0,9
"1977-апр";7
"1977-май";14,2
"1977-июн";16,8
"1977-июл";18,8
"1977-авг";15,8
"1977-сен";9,5
"1977-окт";3,1
"1977-ноя";1,7
"1977-дек";-8,2
"1978-янв";-7,3
"1978-фев";-9,5
"1978-мар";0,4
"1978-апр";4,6
"1978-май";10,5
"1978-июн";14,3
"1978-июл";16,3
"1978-авг";15,8
"1978-сен";9,7
"1978-окт";3,3
"1978-ноя";2
"1978-дек";-14,5
"1979-янв";-9,9
"1979-фев";-8,8
"1979-мар";-0,9
"1979-апр";3,3
"1979-май";17,1
"1979-июн";17,2
"1979-июл";16,7
"1979-авг";16,9
"1979-сен";11,7
"1979-окт";3,8
"1979-ноя";-0,9
"1979-дек";-5,7
"1980-янв";-11,3
"1980-фев";-7,1
"1980-мар";-6,4
"1980-апр";5,8
"1980-май";8,4
"1980-июн";17,9
"1980-июл";17,2
"1980-авг";14,7
"1980-сен";10,5
"1980-окт";5,2
"1980-ноя";-2
"1980-дек";-4,2
"1981-янв";-5,4
"1981-фев";-4,9
"1981-мар";-3,1
"1981-апр";3,3
"1981-май";14
"1981-июн";19,8
"1981-июл";21,5
"1981-авг";17,4
"1981-сен";10,8
"1981-окт";7,8
"1981-ноя";-0,6
"1981-дек";-3,5
"1982-янв";-10,1
"1982-фев";-8,8
"1982-мар";-0,7
"1982-апр";5,3
"1982-май";12
"1982-июн";13,8
"1982-июл";18,4
"1982-авг";16,6
"1982-сен";11,8
"1982-окт";4,1
"1982-ноя";2
"1982-дек";-1,1
"1983-янв";-4
"1983-фев";-6,9
"1983-мар";-1,4
"1983-апр";9,3
"1983-май";15,6
"1983-июн";14,5
"1983-июл";17,9
"1983-авг";16
"1983-сен";12,4
"1983-окт";6,2
"1983-ноя";-1,5
"1983-дек";-3,2
"1984-янв";-4,4
"1984-фев";-10,3
"1984-мар";-2,3
"1984-апр";7,5
"1984-май";16
"1984-июн";15,6
"1984-июл";17,6
"1984-авг";15,1
"1984-сен";12,4
"1984-окт";6,8
"1984-ноя";-3,5
"1984-дек";-9,6
"1985-янв";-10
"1985-фев";-14
"1985-мар";-3,1
"1985-апр";5,4
"1985-май";13
"1985-июн";14,6
"1985-июл";16,4
"1985-авг";19,4
"1985-сен";10,1
"1985-окт";6,1
"1985-ноя";-3,3
"1985-дек";-6,5
"1986-янв";-6,7
"1986-фев";-13,5
"1986-мар";0,2
"1986-апр";6,7
"1986-май";13,6
"1986-июн";18,6
"1986-июл";17,8
"1986-авг";16,5
"1986-сен";8,6
"1986-окт";4,2
"1986-ноя";-0,1
"1986-дек";-7,5
"1987-янв";-17,5
"1987-фев";-6
"1987-мар";-5,3
"1987-апр";2,8
"1987-май";12,8
"1987-июн";17,7
"1987-июл";16,8
"1987-авг";15,1
"1987-сен";9
"1987-окт";3,6
"1987-ноя";-3,6
"1987-дек";-7
"1988-янв";-7,2
"1988-фев";-6,1
"1988-мар";-1
"1988-апр";5,3
"1988-май";13,8
"1988-июн";19,5
"1988-июл";21,6
"1988-авг";16,5
"1988-сен";11,3
"1988-окт";4,9
"1988-ноя";-4,4
"1988-дек";-6,9
"1989-янв";-2,1
"1989-фев";-0,5
"1989-мар";2
"1989-апр";7,7
"1989-май";13,4
"1989-июн";20
"1989-июл";19,2
"1989-авг";16,2
"1989-сен";12,2
"1989-окт";5,3
"1989-ноя";-2,6
"1989-дек";-5,3
"1990-янв";-5,7
"1990-фев";0,4
"1990-мар";2
"1990-апр";8,1
"1990-май";10,8
"1990-июн";14,5
"1990-июл";17,5
"1990-авг";16
"1990-сен";9,3
"1990-окт";5,3
